fighter_id,name,height,weight,reach,stance,dob
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978"
http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
http://ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
http://ufcstats.com/fighter-details/841695e02c99a521,Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
http://ufcstats.com/fighter-details/c0ed7b208197e8de,Hiroyuki Abe,"5' 6""",145 lbs.,--,Orthodox,--
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
http://ufcstats.com/fighter-details/5140122c3eecd307,Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991"
http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Ricardo Abreu,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984"
http://ufcstats.com/fighter-details/c9f6385af6df66d7,Papy Abedi,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978"
http://ufcstats.com/fighter-details/7279654c7674cd24,Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992"
http://ufcstats.com/fighter-details/1c5879330d42255f,Daniel Acacio,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
http://ufcstats.com/fighter-details/989b85f6540c86b1,John Adajar,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991"
http://ufcstats.com/fighter-details/f689bd7bbd14b392,Cyborg Abreu,--,--,--,,"Dec 20, 1980"
http://ufcstats.com/fighter-details/2620f3eb21c79614,Scott Adams,"6' 0""",225 lbs.,--,Southpaw,--
http://ufcstats.com/fighter-details/83b00f7597e5ac83,Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
http://ufcstats.com/fighter-details/a77633a989013265,Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988"
http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992"
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
http://ufcstats.com/fighter-details/7a846fcbf182a7c8,Mohamed Ado,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000"
http://ufcstats.com/fighter-details/0e9869d712e81f8f,Sam Adkins,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965"
http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979"
http://ufcstats.com/fighter-details/a08ddd04eaffd81d,Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997"
http://ufcstats.com/fighter-details/26f4288e83188c61,Kantharaj Agasa,--,135 lbs.,--,,"Feb 16, 1992"
http://ufcstats.com/fighter-details/44aa652b181bcf68,Marcelo Aguiar,"5' 10""",170 lbs.,--,Orthodox,--
http://ufcstats.com/fighter-details/501821d7fb7b95c1,Fabio Aguiar,"6' 0""",185 lbs.,--,,"Feb 10, 1988"
http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,Edwin Aguilar,"5' 10""",185 lbs.,--,,--
http://ufcstats.com/fighter-details/8f382b3baa954d2a,Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
http://ufcstats.com/fighter-details/cf946e03ba2e7666,Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988"
http://ufcstats.com/fighter-details/c051c2e12d692b8a,Jesus Aguilar,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996"
http://ufcstats.com/fighter-details/ae071698e1a3ccd4,Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991"
http://ufcstats.com/fighter-details/0978385b2bd9ef9b,Nick Aguirre,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996"
http://ufcstats.com/fighter-details/b2efa582adf73604,Agulali,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005"
http://ufcstats.com/fighter-details/ff584c17bccbae0b,Ahejiang Ailinuer,--,145 lbs.,--,,--
http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--
http://ufcstats.com/fighter-details/49dea784f6cfed71,Ashiek Ajim,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994"
http://ufcstats.com/fighter-details/2eada40ac8801559,Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974"
http://ufcstats.com/fighter-details/16690d100f995f8f,Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
http://ufcstats.com/fighter-details/b0550072e5f0afa7,Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975"
http://ufcstats.com/fighter-details/1fc64507a0cb38cf,Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
http://ufcstats.com/fighter-details/38b50fd1e1b5b656,Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982"
http://ufcstats.com/fighter-details/1cf1310684a841f5,Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973"
http://ufcstats.com/fighter-details/597499ac7a5aac62,Abdul-Kareem Al-Selwady,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995"
http://ufcstats.com/fighter-details/7578cc6bd750206b,Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991"
http://ufcstats.com/fighter-details/2144954270be834d,Javi Alanis,"5' 6""",135 lbs.,--,,--
http://ufcstats.com/fighter-details/1897b7b913736a7c,Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991"
http://ufcstats.com/fighter-details/6d35bf94f7d30241,Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993"
http://ufcstats.com/fighter-details/9b28292abe3166d5,Brett Albee,--,225 lbs.,--,,--
http://ufcstats.com/fighter-details/7bd94b60d7521e4a,John Albert,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986"
http://ufcstats.com/fighter-details/c482c8605455a213,Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
http://ufcstats.com/fighter-details/dd1b90eea08887f6,Israel Albuquerque,--,185 lbs.,--,Orthodox,--
http://ufcstats.com/fighter-details/e76d9f656ceb82ab,Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
http://ufcstats.com/fighter-details/184b955181bdef52,Wes Albritton,"5' 10""",188 lbs.,--,Orthodox,--
http://ufcstats.com/fighter-details/39f62b833e4cf126,Juan Alcain,--,--,--,,--
http://ufcstats.com/fighter-details/7c6e87729e824ef4,Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982"
http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980"
http://ufcstats.com/fighter-details/1e38bba6738b7b10,Alfonso Alcarez,"5' 3""",145 lbs.,--,,"Jun 10, 1970"
http://ufcstats.com/fighter-details/d26934530dc5b248,Gilbert Aldana,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977"
http://ufcstats.com/fighter-details/578ef12674df1e6a,Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988"
http://ufcstats.com/fighter-details/7460ddef986d3144,Jose Alday,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991"
http://ufcstats.com/fighter-details/c487223b0289bda9,Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988"
http://ufcstats.com/fighter-details/d0f3959b4a9747e6,Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986"
http://ufcstats.com/fighter-details/6fd953151d981979,JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992"
http://ufcstats.com/fighter-details/d35298b6df168456,Talita Alencar,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990"
http://ufcstats.com/fighter-details/103e2e33a60683e1,Irina Alekseeva,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990"
http://ufcstats.com/fighter-details/fe5a9547479396ab,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986"
http://ufcstats.com/fighter-details/0541480fbf719d86,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972"
http://ufcstats.com/fighter-details/7a15f3694c5cbc02,John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979"
http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,Kenneth Alexander,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977"
