,mean_abs_shap
o_finish_rate,1.6024475
o_elo,0.40642425
total_fights_diff,0.25787985
o_sub_rate,0.22625771
o_total_fights,0.16631013
o_ko_rate,0.14973393
f_elo,0.13389237
days_since_last_fight,0.11103437
f_sub_rate,0.03655849
height_diff,0.03221813
five_fight_win_streak,0.029297844
ko_rate_diff,0.02385777
o_height,0.022418322
elo_diff,0.01626887
f_height,0.015290453
f_finish_rate,0.015205834
sub_rate_diff,0.013147154
o_weight,0.01299061
weight_diff,0.01233484
f_total_fights,0.011816902
f_weight,0.010184153
finish_rate_diff,0.0059892894
f_ko_rate,0.0038576408
f_win_rate,0.0011779186
o_win_rate,0.0
is_title_fight,0.0
win_rate_diff,0.0
