url,name,height,weight,reach,stance,dob
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978"
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978"
http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Tom Aaron,--,155 lbs.,--,,"Jul 13, 1978"
http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
http://ufcstats.com/fighter-details/15df64c02b6b0fde,Danny Abbadi,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
http://ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
http://ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
http://ufcstats.com/fighter-details/59a9d6dac61c2540,Nariman Abbasov,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994"
http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
http://ufcstats.com/fighter-details/b361180739bed4b0,David Abbott,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965"
http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
http://ufcstats.com/fighter-details/3329d692aea4dc28,Hamdy Abdelwahab,"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993"
http://ufcstats.com/fighter-details/841695e02c99a521,Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
http://ufcstats.com/fighter-details/841695e02c99a521,Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
http://ufcstats.com/fighter-details/841695e02c99a521,Mansur Abdul-Malik,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997"
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981"
